X,year,month,day,hour,season,PM2.5,O3,TEMP,PRES
43825,2015,3,1,0,1,69,40,-1.8,1021
43826,2015,3,1,1,1,35,61,-2.6,1020.8
43827,2015,3,1,2,1,20,59,-2.6,1020.4
43828,2015,3,1,3,1,13,60,1.8,1019.7
43829,2015,3,1,4,1,12,54,-0.9,1019.1
43830,2015,3,1,5,1,9,42,-3.2,1018.9
43831,2015,3,1,6,1,10,30,-1.9,1018.7
43832,2015,3,1,7,1,37,14,-2,1018.5
43833,2015,3,1,8,1,44,10,-0.1,1018.6
43834,2015,3,1,9,1,53,16,4.2,1018.8
43835,2015,3,1,10,1,38,40,6,1018.5
43836,2015,3,1,11,1,29,55,7.6,1017.8
43837,2015,3,1,12,1,31,67,8.7,1016.7
43838,2015,3,1,13,1,24,80,9.8,1015.3
43839,2015,3,1,14,1,21,86,10.9,1014
43840,2015,3,1,15,1,19,92,11.5,1013
43841,2015,3,1,16,1,13,90,11.5,1012.4
43842,2015,3,1,17,1,17,88,11.4,1011.8
43843,2015,3,1,18,1,18,79,10.3,1012.2
43844,2015,3,1,19,1,25,74,9.3,1012.6
43845,2015,3,1,20,1,31,65,8.4,1012.8
43846,2015,3,1,21,1,43,38,6,1013
43847,2015,3,1,22,1,49,24,6.5,1012.4
43848,2015,3,1,23,1,54,10,6.6,1011.9
43849,2015,3,2,0,1,55,8,5.4,1011.3
43850,2015,3,2,1,1,59,8,1.7,1010.7
43851,2015,3,2,2,1,54,7,0,1010
43852,2015,3,2,3,1,64,7,-1.5,1009.4
43853,2015,3,2,4,1,62,NA,-2,1008.5
43854,2015,3,2,5,1,66,9,-2.1,1007.8
43855,2015,3,2,6,1,74,10,-1.2,1008.1
43856,2015,3,2,7,1,94,12,-2.7,1008.2
43857,2015,3,2,8,1,106,12,0,1008.6
43858,2015,3,2,9,1,98,19,3,1008.3
43859,2015,3,2,10,1,113,29,5.9,1007.9
43860,2015,3,2,11,1,116,41,8.4,1007.4
43861,2015,3,2,12,1,91,52,10.9,1006.3
43862,2015,3,2,13,1,53,72,13.3,1005
43863,2015,3,2,14,1,25,89,13.9,1004.3
43864,2015,3,2,15,1,18,91,14,1004.4
43865,2015,3,2,16,1,NA,86,14,1004.4
43866,2015,3,2,17,1,NA,80,12.8,1004.5
43867,2015,3,2,18,1,22,76,12.1,1005.2
43868,2015,3,2,19,1,21,67,10.5,1007.1
43869,2015,3,2,20,1,13,68,9.5,1007.9
43870,2015,3,2,21,1,12,71,8.5,1009.4
43871,2015,3,2,22,1,8,78,7.9,1010.5
43872,2015,3,2,23,1,9,80,7.5,1011.3
43873,2015,3,3,0,1,9,80,7,1012.2
43874,2015,3,3,1,1,10,80,6.7,1012.8
43875,2015,3,3,2,1,8,80,5.1,1014.2
43876,2015,3,3,3,1,7,80,3.9,1015.2
43877,2015,3,3,4,1,6,79,3.3,1015.7
43878,2015,3,3,5,1,5,79,2.3,1016.6
43879,2015,3,3,6,1,8,80,1.2,1017.5
43880,2015,3,3,7,1,6,73,-0.6,1019.4
43881,2015,3,3,8,1,9,74,-2.1,1021.3
43882,2015,3,3,9,1,11,74,-2.3,1022.4
43883,2015,3,3,10,1,11,74,-1.1,1023
43884,2015,3,3,11,1,3,76,-0.4,1022.8
43885,2015,3,3,12,1,5,76,0.7,1021.9
43886,2015,3,3,13,1,10,76,1.9,1020.7
43887,2015,3,3,14,1,9,77,2.7,1020.1
43888,2015,3,3,15,1,9,78,3.4,1019.3
43889,2015,3,3,16,1,8,78,3.5,1019.1
43890,2015,3,3,17,1,12,75,2.9,1019.2
43891,2015,3,3,18,1,12,70,2.2,1019.8
43892,2015,3,3,19,1,15,66,1.5,1020.7
43893,2015,3,3,20,1,14,63,1.1,1021.8
43894,2015,3,3,21,1,16,63,0.7,1022.8
