year,month,day,hour,season,PM2.5,PM10,SO2,CO,NO2,O3,TEMP,DEWP,HUMI,PRES,RAIN,WD,WSPM,Iws,blh
2019,9,1,0,4,15,57,3,0.421,23,105,24.7,13.9,51,1008.6,0,SW,1.5,15.4,126.3601841
2019,9,1,1,4,20,55,3.25,0.468,26,93,22,14.4,62,1008.7,0,SW,1.1,16.5,96.75289604
2019,9,1,2,4,21.5,54,3.5,0.4845,27,89.5,20.75,14.9,69.5,1008.6,0,SW,0.7,8.4,73.0291075
2019,9,1,3,4,23,53,3.75,0.501,28,86,19.5,15.4,77,1008.5,0,CV,0.3,0.3,49.30531895
2019,9,1,4,4,25,54,4,0.547,43,62,19.6,14.4,72,1008.5,0,NE,0.8,0.8,42.18818239
2019,9,1,5,4,27,72,2,0.586,96,13,19.2,14.7,75,1008.8,0,NE,0.7,1.5,34.78636036
2019,9,1,6,4,28,77,2.5,0.591,110,2,18.5,14.4,77,1009.2,0,CV,0.4,0.4,24.06320794
2019,9,1,7,4,25,70,3,0.549,92,1,19.8,14.8,73,1009.6,0,NE,1.2,1.2,42.85244847
2019,9,1,8,4,30,70,3,0.603,75,10,22.3,14.7,62,1010,0,NE,1.6,2.8,161.945867
2019,9,1,9,4,22,73,3,0.626,63,28,25.4,15.4,54,1010.2,0,SE,1.1,1.1,389.5993418
2019,9,1,10,4,27,66,2.5,0.62,43,63,27.3,14.7,46,1010.2,0,SE,0.8,1.9,659.8607409
2019,9,1,11,4,29,69,2,0.641,39,85,29.4,14.8,41,1009.9,0,SE,1.2,3.1,993.4172078
2019,9,1,12,4,31,74,2,0.659,34,116,31,12.8,33,1009.2,0,SW,2.1,2.1,1393.305387
2019,9,1,13,4,19,58,2,0.593,32,145,32.1,13.3,32,1008.4,0,SE,2.2,2.2,1720.219194
2019,9,1,14,4,20,19,2.2,0.384,12,151,32.9,10.3,25,1007.8,0,SW,3.2,3.2,1985.166464
2019,9,1,15,4,25,23,2.4,0.338,11,148,32.6,10.6,26,1007.5,0,SW,4.6,7.8,2088.697077
2019,9,1,16,4,24,46,2.6,0.363,11,166,33.2,12.8,29,1007.6,0,SW,1.6,9.4,2088.981763
2019,9,1,17,4,15,51,2.8,0.39,8,169,32.5,12.7,30,1008,0,SE,1.1,1.1,1776.966496
2019,9,1,18,4,20,54,3,0.408,10,183,29.7,12.6,35,1007.6,0,SW,1.5,1.5,396.4317929
2019,9,1,19,4,21,49,2.5,0.435,13,182,28.9,11.9,35,1008,0,SW,2.1,3.6,160.4275445
2019,9,1,20,4,18,50,2,0.419,12,168,27.8,11.8,37,1009.1,0,SW,1.8,5.4,162.2305524
2019,9,1,21,4,20,48,2,0.411,13,150,27,12.6,41,1009.7,0,SW,1.2,6.6,153.8797788
2019,9,1,22,4,20,52,2,0.464,19,134,24.9,13.8,50,1009.8,0,SW,1.1,7.7,122.3745877
2019,9,1,23,4,21,57,2,0.506,22,129,22.3,14.2,60,1010,0,CV,0.3,0.3,81.75946168
2019,9,2,0,4,21,58,2,0.51675,23.25,127.75,21.525,14.275,63.5,1010.05,0,CV,0.375,0.375,68.8774445
2019,9,2,1,4,21,59,2,0.5275,24.5,126.5,20.75,14.35,67,1010.1,0,CV,0.45,0.45,55.99542732
2019,9,2,2,4,21,60,2,0.53825,25.75,125.25,19.975,14.425,70.5,1010.15,0,CV,0.525,0.525,43.11341014
2019,9,2,3,4,21,61,2,0.549,27,124,19.2,14.5,74,1010.2,0,NW,0.6,0.6,30.23139296
2019,9,2,4,4,12,67,2.5,0.495,89,2,19,14.3,74,1010.3,0,NE,1.1,1.1,26.72027226
2019,9,2,5,4,17,54,3,0.455,85,2,18.8,14.5,76,1010.6,0,NE,1,2.1,27.85901411
2019,9,2,6,4,22,47,3,0.45,79,2,18.2,14.7,80,1011,0,CV,0.3,0.3,29.47223173
2019,9,2,7,4,25,50,3,0.477,79,4,19,15.3,79,1011.3,0,NE,0.9,0.9,38.77195684
2019,9,2,8,4,20,41,3,0.528,62,27,22.1,14.7,63,1011.4,0,NW,1.3,1.3,143.7259974
2019,9,2,9,4,24,45,2.666666667,0.598,52,49,25.9,14.4,49,1011.4,0,NE,0.7,0.7,380.1098264
2019,9,2,10,4,25,69,2.333333333,0.715,67,48,28.6,14.4,42,1011.2,0,NE,1.2,1.9,595.901407
2019,9,2,11,4,26,66,2,0.663,37,96,29.6,14.2,39,1010.6,0,SE,0.6,0.6,855.2498633
2019,9,2,12,4,34,64,2,0.647,32,129,31.9,14.5,35,1009.8,0,SE,1.5,2.1,1153.790018
2019,9,2,13,4,29,65,2,0.666,27,175,32.7,12.9,30,1009.4,0,SW,2.1,2.1,1401.466371
2019,9,2,14,4,24,49,2,0.56599999,15,201,33.6,13.1,29,1008.8,0,SW,2.7,4.8,1537.830707
2019,9,2,15,4,22,31,2,0.432,13,182,33.5,11.9,27,1008,0,SW,2,6.8,1667.362593
2019,9,2,16,4,21,41,2,0.385,11,183,33.3,12.9,29,1007.7,0,SW,3.1,9.9,1684.06414
2019,9,2,17,4,25,69,2,0.384,13,198,33,12.6,29,1007.6,0,SW,1.9,11.8,1607.29396
2019,9,2,18,4,25.90442885,64.66666667,2,0.356333333,13.66666667,184.6666667,31.43333333,13.46666667,34.33333333,1008,0,SW,1.833333333,8.433333333,1104.85575
